sample_id,lake,basin,block,fish,distance,replicate,d13c,total_c_ug,d15n,total_n_ug,sample_mg,pct_c,pct_n
K1A-10a,K1A,K,1,A,10,a,-27.891983639643765,1460.6621887333836,-3.6223973471753017,34.51217201975791,2.8692,50.908343396535045,1.2028499937180368
K1A-00b,K1A,K,1,A,0,b,-29.343679413804196,1568.033740987507,-4.774693324331843,24.448481681025157,3.0283,51.77933959606073,0.8073335429457172
K1A-00c,K1A,K,1,A,0,c,-29.70594167247828,1499.8613268579047,-5.700349397809407,24.204200881616618,2.9119,51.507995702390346,0.8312167616201318
K1A-50c,K1A,K,1,A,50,c,-27.70185077816599,1453.8449473204232,-1.1564637780876235,27.317672820513522,2.8323,51.33089529076804,0.964504918988579
K1A-50a,K1A,K,1,A,50,a,-25.9597044562061,1418.0544299023823,-6.6979950202091665,25.791761613426093,2.7142,52.245760441470125,0.9502528042674119
H1P-10c,H1P,H,1,P,10,c,-27.402882635128776,1377.150981424621,-1.3524492360573894,33.415538270671746,2.6484,51.99935740162441,1.261725504858471
H1P-50a,H1P,H,1,P,50,a,-26.426340195064142,1378.8552917778607,-3.783963180608623,46.00873785612392,2.6337,52.35430351892246,1.7469240177743828
H1A-02c,H1A,H,1,A,2,c,-26.13102154181489,1327.7259811806593,-5.656040011593491,24.753811874524345,2.5963,51.13915884838653,0.953426486712797
H1A-05a,H1A,H,1,A,5,a,-26.97023824155118,1412.941498842662,-5.732438716482936,21.882795376227975,2.6649,53.020432242960794,0.8211488377135343
H1A-02b,H1A,H,1,A,2,b,-26.594971184731534,1298.7527051755783,-3.076904482171112,17.603026708897634,2.5347,51.23891210697827,0.6944816628751976
K1P-00x,K1P,K,1,P,0,x,-28.102044932144395,1547.5820167486263,-4.234333368034807,28.904007399445895,2.9993,51.59810678320363,0.9636917747289667
H3P-00b,H3P,H,3,P,0,b,-28.801908417840032,1310.6828776482585,-3.7624152720291,18.39818349151246,2.5618,51.162576221729196,0.7181740764896737
H1A-02a,H1A,H,1,A,2,a,-28.54509111547223,1448.732016260703,-5.329102810884875,23.41018610413243,2.7759,52.18963277714266,0.8433367954224731
H1A-00a,H1A,H,1,A,0,a,-29.083174792158097,1295.344084469098,-2.1680342620260333,21.149442543320475,2.5289,51.221641206417736,0.8363099586112728
H1A-00c,H1A,H,1,A,0,c,-28.792761930499083,1484.5225336787444,-5.3522917251591124,23.043665037364462,2.8012,52.99594936736914,0.8226354789863081
H1A-00b,H1A,H,1,A,0,b,-26.563533752478094,1392.4897746037814,-5.728870608437238,29.75792864118958,2.6986,51.6004511451783,1.1027172845619795
H1A-10c,H1A,H,1,A,10,c,-27.56935927075746,1290.2311534093778,-5.944473182385654,24.93699889421773,2.5193,51.213875021211365,0.9898384032952697
H1A-10b,H1A,H,1,A,10,b,-28.240157780703353,1354.9949468324999,-6.335530239342643,25.05911895051077,2.6553,51.02982513586035,0.9437396509061413
H1A-10a,H1A,H,1,A,10,a,-27.393466846076223,1421.4630506088624,-5.536312959688484,22.00500790257208,2.7396,51.88578809347578,0.8032197365517624
H1A-05c,H1A,H,1,A,5,c,-27.443898931281407,1373.7423607181408,-3.8816021767391273,29.94088818455734,2.7165,50.5703059347742,1.1021862022660536
H1A-05b,H1A,H,1,A,5,b,-26.950504205810713,1452.1406369671831,-4.9248729736068295,27.439720750166728,2.8488,50.97376568966523,0.9632027783686721
K2P-00x,K2P,K,2,P,0,x,-27.618115770218537,1472.5923612060637,-4.373760408719526,24.265272468519512,2.8192,52.23440554788819,0.8607148293317081
K2P-50x,K2P,K,2,P,50,x,-28.514452319850665,1368.6294296584206,-1.518883960993098,27.13459399077988,2.6549,51.55107272057028,1.0220571016151223
H3A-00a,H3A,H,3,A,0,a,-26.923652318646838,1334.5432225936197,-3.877734348671909,19.80461651166575,2.5594,52.142815604970686,0.7737991916724916
H3P-05c,H3P,H,3,P,5,c,-27.6581743477893,1133.4346009112928,-4.191077645955212,25.486510019470312,2.6176,43.30052723530306,0.9736594597902779
H3P-00c,H3P,H,3,P,0,c,-27.68796581693131,1493.0440854449448,-4.574186649708771,29.696940277332633,2.9122,51.268597123993715,1.0197424722660748
H3A-00c,H3A,H,3,A,0,c,-29.226471817244427,1385.672533190821,-5.418220771111739,25.242292099696492,2.6992,51.33641572283718,0.9351767968174457
