sample_id,sample_ID,lake,basin,block,fish,distance_m,d13c,total_c_ug,d15n,total_n_ug,sample_mg,sample_ug,pct_c,pct_n,Pct_OM
SS01,1,H1A,H,1,A,45,-27.00,678.94,2.68,38.68,6.8845,6884.5,9.861892069,0.56187146,18.95
SS02,2,H3A,H,3,A,40,-27.22,1520.65,2.28,72.95,7.2879,7287.9,20.86537801,1.000937885,43.33
SS03,3,H1A,H,1,A,40,-27.42,642.17,1.96,42.18,8.0403,8040.3,7.986913186,0.524622124,10.7
SS04,4,H3A,H,3,A,30,-27.62,1574.00,4.22,76.52,7.188,7188,21.89762662,1.06456428,40.93
SS05,5,H1P,H,1,P,50,-25.68,710.48,6.96,37.52,8.0422,8042.2,8.834379365,0.466506187,12.15
SS06,6,H1P,H,1,P,25,-27.14,1593.58,1.74,67.60,5.0457,5045.7,31.58286648,1.339783112,57.35
SS07,7,,,,,,-25.22,366.29,2.62,26.50,10.0293,10029.3,3.652234515,0.264179868,
SS08,8,,,,,,-27.20,1645.22,1.95,95.71,7.0901,7090.1,23.20441197,1.349899106,
SS09,9,H3P,H,3,P,20,-26.52,1219.24,3.49,65.82,7.0409,7040.9,17.31655447,0.93487052,33.25
SS10,10,H3P,H,3,P,50,-26.49,912.38,3.57,56.78,7.1639,7163.9,12.73580034,0.792649423,27.84
SS11,11,H3P,H,3,P,35,-27.04,972.21,3.44,54.55,7.0865,7086.5,13.71920131,0.769737373,21.17
SS12,12,H1P,H,1,P,5,-27.00,1884.42,0.71,72.95,5.0548,5054.8,37.27986713,1.443130333,64.66
SS13,13,H3P,H,3,P,30,-26.95,995.10,3.65,54.43,7.0642,7064.2,14.08658516,0.770501659,20.72
SS14,14,H3A,H,3,A,20,-27.42,1453.14,4.20,81.30,7.0978,7097.8,20.47306829,1.145390295,40.36
SS15,15,H3P,H,3,P,45,-27.12,1085.01,4.07,54.02,6.9997,6999.7,15.5007528,0.771719254,23.67
SS16,16,H3A,H,3,A,50,-26.67,982.78,4.30,55.78,7.0724,7072.4,13.89593649,0.788747685,22.78
SS17,17,H3P,H,3,P,25,-26.42,956.37,3.13,54.90,6.7874,6787.4,14.09033467,0.808858655,23.52
SS18,18,H3A,H,3,A,15,-27.13,1629.19,3.70,80.70,6.9406,6940.6,23.47326015,1.162719187,44.64
SS19,19,H3P,H,3,P,15,-26.53,1495.77,3.00,92.70,6.8775,6877.5,21.74869393,1.347824722,35.47
SS20,20,H3P,H,3,P,40,-26.95,1508.21,2.88,86.69,7.2031,7203.1,20.93828788,1.203475129,30.18
SS21,21,K1P,K,1,P,30,-26.64,785.89,1.50,36.99,8.0376,8037.6,9.777637517,0.460255953,12.99
SS22,22,,,,,,-26.62,1570.44,4.13,91.49,7.265,7265,21.61655841,1.259368419,
SS23,23,K2P,K,2,P,30,-27.72,1643.43,1.55,50.67,5.0515,5051.5,32.53359559,1.00305122,56.31
SS24,24,K2P,K,2,P,45,-27.88,2261.27,-1.71,68.19,5.001,5001,45.21645446,1.363618779,85.02
SS25,25,K2P,K,2,P,40,-28.07,2333.33,-1.19,78.91,5.059,5059,46.12235188,1.55974486,88.63
